Fri,Mon,Sat,Thu,Tue,Wed,building,call,name,number,room
,,,,,,,12721,Accounting I: Financial Accoun Section 200,Accounting B5001,
,,,,,,,14424,Financial Statement Analysis Section 300,Accounting B5909,
,,,2:15pm-3:45pm,2:15pm-3:45pm,2:15pm-3:45pm,W & J Warren Hall,64956,Accounting I: Financial Accoun Section 001,Accounting B6001,207
,,,4:00pm-5:30pm,4:00pm-5:30pm,4:00pm-5:30pm,W & J Warren Hall,20398,Accounting I: Financial Accoun Section 002,Accounting B6001,207
,,,10:45am-12:15pm,10:45am-12:15pm,10:45am-12:15pm,W & J Warren Hall,71435,Accounting I: Financial Accoun Section 003,Accounting B6001,207
,,,,,,,11070,Earnings Quality & Fundamental Section 001,Accounting B7008,
,,,,,,,71018,Fundamental Analysis for Inves Section 001,Accounting B7010,
,,,,,,,27677,Fundamental Analysis Section 001,Accounting B7021,
,,,10:45am-12:15pm,10:45am-12:15pm,,Uris Hall,13085,Financial Planning & Analysis Section 001,Accounting B8007,333
,,,2:15pm-3:45pm,2:15pm-3:45pm,,Uris Hall,73033,Financial Planning & Analysis Section 002,Accounting B8007,333
,,,4:00pm-5:30pm,4:00pm-5:30pm,,Uris Hall,64122,Financial Planning & Analysis Section 003,Accounting B8007,333
,,,10:45am-12:15pm,10:45am-12:15pm,,Uris Hall,20780,Earnings Quality & Fundamental Section 001,Accounting B8008,326
,,,2:15pm-3:45pm,2:15pm-3:45pm,,Uris Hall,11869,Earnings Quality & Fundamental Section 002,Accounting B8008,326
9:00am-12:15pm,9:00am-12:15pm,,,,,W & J Warren Hall,71817,Financial Statement Analysis a Section 001,Accounting B8009,209
2:15pm-5:30pm,2:15pm-5:30pm,,,,,W & J Warren Hall,28476,Financial Statement Analysis a Section 002,Accounting B8009,209
9:00am-12:15pm,9:00am-12:15pm,,,,,Uris Hall,62906,Fundamental Analysis for Inves Section 001,Accounting B8010,331
,,,,9:00am-12:15pm,,W & J Warren Hall,19564,Corporate Transactions and Fin Section 001,Accounting B8019,416
,,,,2:15pm-5:30pm,,W & J Warren Hall,10653,Corporate Transactions and Fin Section 002,Accounting B8019,416
,,,,5:45pm-9:00pm,,W & J Warren Hall,70601,Corporate Transactions and Fin Section 003,Accounting B8019,416
10:45am-2:00pm,10:45am-2:00pm,,,,,Uris Hall,27260,Accounting for Value Section 001,Accounting B8022,332
,,,,,10:45am-2:00pm,Uris Hall,61690,Accounting for Value Section 002,Accounting B8022,332
,,,,9:00am-12:15pm,,Uris Hall,19652,Topics in Accounting Research Section 001,Accounting B9019,305
,,,6:10pm-8:00pm,,,,28030,PENSIONS Section D01,Actuarial Science PS5619,
,,,,8:10pm-10:00pm,,,62779,PROPERTY/CASUALTY Section D01,Actuarial Science PS5630,
,,,11:40am-12:55pm,11:40am-12:55pm,,THOMPSON HAL,67746,ACTUARIAL METHODS I Section 001,Actuarial Science PS5821,136
,8:10pm-10:00pm,,,,,,13008,ACTUARIAL METHODS I Section D02,Actuarial Science PS5821,
,1:10pm-2:25pm,,,,1:10pm-2:25pm,MACY HALL,75996,ACTUARIAL METHODS II Section 001,Actuarial Science PS5822,130
,,,8:10pm-10:00pm,,,,62396,ACTUARIAL METHODS II Section D02,Actuarial Science PS5822,
